institution_link_id,person_id,name_en,institution_name,institution_qid,relationship_type,url
IN0106,FM031,Louis Moyse,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0107,FM031,Louis Moyse,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0108,FM031,Louis Moyse,University of Toronto,Q180865,employer,https://www.wikidata.org/wiki/Q180865
IN0109,FM031,Louis Moyse,Boston University,Q49110,employer,https://www.wikidata.org/wiki/Q49110
IN0110,FM036,Doriot Anthony Dwyer,Eastman School of Music,Q1278284,educated_at,https://www.wikidata.org/wiki/Q1278284
IN0111,FM036,Doriot Anthony Dwyer,Interlochen Center for the Arts,Q6047120,educated_at,https://www.wikidata.org/wiki/Q6047120
IN0112,FM036,Doriot Anthony Dwyer,Boston University,Q49110,employer,https://www.wikidata.org/wiki/Q49110
IN0113,FM043,Bonita Boyd,Eastman School of Music,Q1278284,educated_at,https://www.wikidata.org/wiki/Q1278284
IN0114,FM043,Bonita Boyd,Eastman School of Music,Q1278284,employer,https://www.wikidata.org/wiki/Q1278284
IN0119,FM080,Jeffrey Khaner,Westmount High School,Q7989327,educated_at,https://www.wikidata.org/wiki/Q7989327
IN0120,FM080,Jeffrey Khaner,Juilliard School,Q503246,employer,https://www.wikidata.org/wiki/Q503246
IN0121,FM061,Lisa Beznosiuk,Royal Academy of Music,Q1144673,employer,https://www.wikidata.org/wiki/Q1144673
IN0122,FM061,Lisa Beznosiuk,University of Birmingham,Q223429,employer,https://www.wikidata.org/wiki/Q223429
IN0123,FM078,Lorna McGhee,University of British Columbia,Q391028,employer,https://www.wikidata.org/wiki/Q391028
IN0124,FM078,Lorna McGhee,University of Michigan,Q230492,employer,https://www.wikidata.org/wiki/Q230492
IN0125,FM002,Theobald Boehm,Munich,Q1726,work_location,https://www.wikidata.org/wiki/Q1726
IN0126,FM057,Frans Brüggen,University of Amsterdam,Q214341,educated_at,https://www.wikidata.org/wiki/Q214341
IN0127,FM057,Frans Brüggen,Conservatorium van Amsterdam,Q1127380,educated_at,https://www.wikidata.org/wiki/Q1127380
IN0128,FM057,Frans Brüggen,Ignatius Gymnasium,Q2042382,educated_at,https://www.wikidata.org/wiki/Q2042382
IN0129,FM057,Frans Brüggen,Royal Conservatory of The Hague,Q18245,employer,https://www.wikidata.org/wiki/Q18245
IN0130,FM057,Frans Brüggen,Conservatorium van Amsterdam,Q1127380,employer,https://www.wikidata.org/wiki/Q1127380
IN0131,FM057,Frans Brüggen,Orchestra of the Eighteenth Century,Q1546339,member_of,https://www.wikidata.org/wiki/Q1546339
IN0132,FM057,Frans Brüggen,Sour Cream,Q28457415,member_of,https://www.wikidata.org/wiki/Q28457415
IN0133,FM012,Marcel Moyse,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0134,FM012,Marcel Moyse,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0135,FM049,Hubert Laws,Juilliard School,Q503246,educated_at,https://www.wikidata.org/wiki/Q503246
IN0136,FM049,Hubert Laws,Wheatley High School,Q7991929,educated_at,https://www.wikidata.org/wiki/Q7991929
IN0137,FM047,Ransom Wilson,Juilliard School,Q503246,educated_at,https://www.wikidata.org/wiki/Q503246
IN0138,FM047,Ransom Wilson,University of North Carolina School of the Arts,Q7895938,educated_at,https://www.wikidata.org/wiki/Q7895938
IN0139,FM005,Louis Dorus,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0140,FM005,Louis Dorus,Conservatoire de Paris,Q463055,employer,https://www.wikidata.org/wiki/Q463055
IN0141,FM056,Barthold Kuijken,Royal Conservatory of The Hague,Q18245,educated_at,https://www.wikidata.org/wiki/Q18245
IN0142,FM056,Barthold Kuijken,Royal Conservatory of Brussels,Q336968,educated_at,https://www.wikidata.org/wiki/Q336968
IN0143,FM056,Barthold Kuijken,Royal Conservatory of The Hague,Q18245,employer,https://www.wikidata.org/wiki/Q18245
IN0144,FM056,Barthold Kuijken,Royal Conservatory of Brussels,Q336968,employer,https://www.wikidata.org/wiki/Q336968
IN0145,FM001,Johann Joachim Quantz,Sächsische Staatskapelle Dresden,Q584017,employer,https://www.wikidata.org/wiki/Q584017
IN0146,FM001,Johann Joachim Quantz,Frederick II of Prussia,Q33550,employer,https://www.wikidata.org/wiki/Q33550
IN0147,FM033,Samuel Baron,Brooklyn College,Q371625,educated_at,https://www.wikidata.org/wiki/Q371625
IN0148,FM033,Samuel Baron,Juilliard School,Q503246,educated_at,https://www.wikidata.org/wiki/Q503246
IN0149,FM033,Samuel Baron,Yale School of Music,Q2784420,employer,https://www.wikidata.org/wiki/Q2784420
IN0150,FM033,Samuel Baron,Mannes College The New School for Music,Q1519151,employer,https://www.wikidata.org/wiki/Q1519151
IN0151,FM033,Samuel Baron,Stony Brook University,Q969850,employer,https://www.wikidata.org/wiki/Q969850
IN0152,FM033,Samuel Baron,Juilliard School,Q503246,employer,https://www.wikidata.org/wiki/Q503246
IN0153,FM062,Claire Guimond,Arion Baroque Orchestra,Q2861299,member_of,https://www.wikidata.org/wiki/Q2861299
IN0154,FM008,Philippe Gaubert,Conservatoire de Paris,Q463055,educated_at,https://www.wikidata.org/wiki/Q463055
IN0155,FM008,Philippe Gaubert,Orchestre de la Société des Concerts du Conservatoire,Q2537853,employer,https://www.wikidata.org/wiki/Q2537853
IN0156,FM074,Susan Milan,Royal College of Music,Q304985,educated_at,https://www.wikidata.org/wiki/Q304985
IN0157,FM074,Susan Milan,Royal College of Music,Q304985,employer,https://www.wikidata.org/wiki/Q304985
IN0158,FM050,James Pellerite,Indiana University Jacobs School of Music,,employer,https://music.indiana.edu/giving/scholarships/scholarships-pellerite.html
IN0159,FM050,James Pellerite,Philadelphia Orchestra,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/james-pellerite
IN0160,FM050,James Pellerite,National Flute Association,,member_of,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/james-pellerite
IN0161,FM085,Mary Karen Clardy,University of North Texas College of Music,,employer,https://music.unt.edu/people/mary-karen-clardy.html
IN0162,FM085,Mary Karen Clardy,University of North Texas,,educated_at,https://s3.amazonaws.com/mirror.facultyinfo.unt.edu/mkc0009/pci/Clardy%20CV%20-%202016%20%2800000002%29-2.pdf
IN0163,FM085,Mary Karen Clardy,Catholic University of America,,educated_at,https://s3.amazonaws.com/mirror.facultyinfo.unt.edu/mkc0009/pci/Clardy%20CV%20-%202016%20%2800000002%29-2.pdf
IN0164,FM085,Mary Karen Clardy,National Flute Association,,member_of,https://music.unt.edu/people/mary-karen-clardy.html
IN0165,FM085,Mary Karen Clardy,British Flute Society,,member_of,https://music.unt.edu/people/mary-karen-clardy.html
IN0166,FM087,Linda Chesis,Manhattan School of Music,,employer,https://www.msmnyc.edu/faculty/linda-chesis/
IN0167,FM087,Linda Chesis,CUNY Graduate Center,,employer,https://www.gc.cuny.edu/people/linda-chesis
IN0168,FM087,Linda Chesis,Cooperstown Summer Music Festival,,member_of,https://www.interlochen.org/person/linda-chesis
IN0169,FM089,Molly Alicia Barth,Vanderbilt University Blair School of Music,,employer,https://blair.vanderbilt.edu/bio/molly-barth/
IN0170,FM089,Molly Alicia Barth,eighth blackbird,,member_of,https://blair.vanderbilt.edu/bio/molly-barth/
IN0171,FM090,Alberto Almarza,Carnegie Mellon University School of Music,,employer,https://www.cmu.edu/cfa/music/people/Bios/almarza_alberto.html
IN0172,FM090,Alberto Almarza,National Flute Association,,member_of,https://www.tonebase.co/music-artist-biographies/albertoalmarza
IN0173,FM032,Robert Willoughby,Oberlin Conservatory of Music,,employer,https://www.oberlin.edu/news/robert-willoughby-legendary-flute-professor-and-performer-dies-96
IN0174,FM016,Georges Laurent,Boston Symphony Orchestra,,employer,https://www.pappoutsakis.org/bio
IN0175,FM016,Georges Laurent,New England Conservatory,,employer,https://www.flutepage.de/deutsch/composer/person.php?englisch=true&id=1266
IN0178,FM028,Geoffrey Gilbert,Guildhall School of Music,,employer,https://www.flutepage.de/deutsch/composer/person.php?englisch=true&id=421
IN0179,FM028,Geoffrey Gilbert,Stetson University,,employer,https://www2.stetson.edu/today/2017/12/gentleman-of-the-flute-recounts-geoffrey-gilberts-love-for-teaching-at-stetson/
IN0180,FM037,Lois Schaefer,Boston Symphony Orchestra,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/lois-schaefer
IN0181,FM037,Lois Schaefer,New England Conservatory,,employer,https://csoarchives.wordpress.com/2021/03/29/remembering-lois-schaefer/
IN0182,FM037,Lois Schaefer,Boston Conservatory,,employer,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/lois-schaefer
IN0183,FM037,Lois Schaefer,National Flute Association,,member_of,https://www.nfaonline.org/about/about-the-nfa/achievement-awards/lois-schaefer
